,symbol,sector,previousClose,sharesOutstanding,market_cap,socialScore,governanceScore,environmentScore,totalEsg,percentile,peerCount,peerGroup,highestControversy,esgPerformance
248,JKCEMENT.ns,Basic Materials,3333.4,77268200,257565817880.0,,,,,,,,,
249,JKLAKSHMI.ns,Basic Materials,627.2,117670000,73802624000.0,,,,,,,,,
250,JKPAPER.ns,Basic Materials,211.9,169402000,35896283800.0,,,,,,,,,
251,JKTYRE.ns,Consumer Cyclical,137.1,246231008,33758271196.8,,,,,,,,,
252,JMFINANCIL.ns,Financial Services,70.1,953702016,66854511321.59999,,,,,,,,,
253,JSWENERGY.ns,Utilities,316.65,1642790016,520189458566.39996,,,,,,,,,
254,JSWSTEEL.ns,Basic Materials,646.75,2402400000,1553752200000.0,11.46,10.7,14.52,36.68,80.47,23,Steel,2,LEAD_PERF
255,JAMNAAUTO.ns,Consumer Cyclical,100.8,398464000,40165171200.0,,,,,,,,,
256,JINDALSAW.ns,Basic Materials,102.2,319756992,32679164582.4,,,,,,,,,
257,JSLHISAR.ns,Basic Materials,294.65,235935008,69518250107.2,,,,,,,,,
258,JSL.ns,Basic Materials,163.7,487235008,79760370809.59999,,,,,,,,,
259,JINDALSTEL.ns,Basic Materials,354.05,1020019968,361138069670.4,,,,,,,,,
260,JCHAC.ns,Technology,1899.2,27190900,51640957280.0,,,,,,,,,
261,JUBLFOOD.ns,Consumer Cyclical,3762.9,131969000,496586150100.0,,,,,,,,,
262,JUBLINGREA.ns,Healthcare,562.45,159280992,89587593950.40001,,,,,,,,,
263,JUBLPHARMA.ns,Healthcare,591.7,159280992,94246562966.40001,,,,,,,,,
264,JUSTDIAL.ns,Communication Services,707.6,62272800,44064233280.0,,,,,,,,,
265,JYOTHYLAB.ns,Consumer Defensive,153.05,367208992,56201336225.600006,,,,,,,,,
266,KPRMILL.ns,Consumer Cyclical,509.5,68810000,35058695000.0,,,,,,,,,
267,KEI.ns,Industrials,1148,89855400,103153999200,,,,,,,,,
268,KNRCON.ns,Industrials,274.8,281235008,77283380198.40001,,,,,,,,,
269,KPITTECH.ns,Technology,489.2,274144000,134111244800.0,,,,,,,,,
270,KRBL.ns,Consumer Defensive,242.25,235390000,57023227500.0,,,,,,,,,
271,KSB.ns,Industrials,1273.5,34807800,44327733300.0,,,,,,,,,
272,KAJARIACER.ns,Industrials,1133.45,159167008,180407845217.6,,,,,,,,,
273,KALPATPOWR.ns,Industrials,382.2,148908992,56913016742.4,,,,,,,,,
274,KALYANKJIL.ns,Consumer Cyclical,68,1030049984,70043398912,,,,,,,,,
275,K.nsAINER.ns,Basic Materials,599.95,538920000,323325054000.0,,,,,,,,,
276,KARURVYSYA.ns,Financial Services,50.05,799321984,40006065299.2,,,,,,,,,
277,KSCL.ns,Consumer Defensive,495.45,60329100,29890052595.0,,,,,,,,,
278,KEC.ns,Industrials,432.5,257088000,111190560000.0,,,,,,,,,
279,KOTAKBANK.ns,Financial Services,1964.25,1982390016,3893909588928.0,12.94,11.43,2.24,26.61,47.07,165,Banks,2,
280,L&TFH.ns,Financial Services,79.15,2470579968,195546404467.2,,,,,,,,,
281,LTTS.ns,Technology,5518.6,105057000,579767560200.0,,,,,,,,,
282,LICHSGFIN.ns,Financial Services,378.65,550062976,208281345862.4,,,,,,,,,
283,LAOPALA.ns,Consumer Cyclical,342.65,111000000,38034150000.0,,,,,,,,,
284,LAXMIMACH.ns,Industrials,8853.15,10683000,94578201450.0,,,,,,,,,
285,LTI.ns,Technology,6948.75,174762000,1214377447500.0,,,,,,,,,
286,LT.ns,Industrials,1789.2,1404600064,2513110434508.8003,13.86,15.91,4.6,34.37,74.16,24,Construction & Engineering,2,LEAD_PERF
287,LAURUSLABS.ns,Healthcare,516.8,536601984,277315905331.19995,,,,,,,,,
288,LXCHEM.ns,Basic Materials,419.15,263663008,110514349803.2,,,,,,,,,
289,LEMONTREE.ns,Consumer Cyclical,45.6,792246016,36126418329.6,,,,,,,,,
290,LINDEINDIA.ns,Basic Materials,2478.35,85284200,211364097070.0,,,,,,,,,
291,LUPIN.ns,Healthcare,875.6,453771008,397321894604.8,23.1,15.71,2.36,41.18,88.41,83,Pharmaceuticals,3,
292,LUXIND.ns,Consumer Cyclical,3904.8,25253000,98607914400.0,,,,,,,,,
