,Name,CMP,P/E,Mar Cap,Div Yld,NP Qtr,Qtr Profit Var,Sales Qtr,Qtr Sales Var,ROCE,PAT Ann,ROE,ROA
623,Astra Microwave,255.5,41.88,2214.22,0.47,3.38,148.99,179.86,63.99,10.04,28.87,5.25,3.14
624,Elecon Engg.Co,194.95,18.39,2187.9,0.21,35.38,61.11,310.4,17.73,10.94,57.76,6.51,2.81
625,Hind.Oil Explor.,164.0,49.76,2172.95,0.0,16.96,44.96,39.1,17.84,4.52,34.02,4.82,3.06
626,Matrimony.com,943.6,41.97,2163.32,0.37,16.57,61.5,109.97,17.91,19.1,40.77,16.59,9.51
627,Volt.Transform.,2138.6,18.9,2153.9,1.17,35.08,17.72,263.2,64.24,14.58,91.5,11.57,10.59
628,Anant Raj,73.05,56.84,2152.62,0.14,14.69,279.59,86.39,104.81,0.91,10.65,0.43,0.19
629,JTEKT India,88.25,43.52,2149.04,0.17,9.51,17.55,385.13,8.59,3.79,11.66,1.95,1.49
630,G M D C,67.15,7.35,2136.95,0.3,40.46,238.58,451.88,121.44,1.27,335.02,8.24,6.68
631,S H Kelkar & Co.,149.45,11.79,2113.45,1.17,22.22,-58.78,358.82,1.23,15.13,144.7,16.3,8.05
632,Rajratan Global,2083.6,22.86,2113.27,0.38,32.6,140.77,241.17,73.48,23.15,53.13,26.56,13.0
633,L T Foods,66.0,7.77,2112.6,1.52,76.63,5.68,1319.79,7.59,14.75,273.52,16.9,7.28
634,Siyaram Silk,449.6,13.98,2106.8,1.02,52.89,476.44,480.37,176.15,3.04,3.93,0.51,0.29
635,Filatex India,93.05,6.76,2089.44,0.43,73.78,685.73,964.95,90.03,22.42,165.71,24.5,9.67
636,Karnataka Bank,66.95,5.22,2081.75,2.69,125.61,5.17,1554.28,-3.08,5.62,484.06,7.68,0.57
637,Va Tech Wabag,334.25,16.03,2079.65,0.0,26.22,57.1,683.96,12.43,12.77,110.11,8.52,2.46
638,Indian Metals,758.2,5.99,2041.59,1.32,143.58,229.16,653.16,49.27,14.67,158.91,13.67,6.43
639,Balmer Lawrie,119.1,12.89,2040.93,5.04,26.96,-9.04,488.79,33.76,8.03,120.33,7.77,4.88
640,Confidence Petro,71.3,20.8,2023.59,0.14,33.44,232.08,428.48,146.66,12.92,49.07,10.02,6.62
641,Technocraf.Inds.,831.95,10.05,2018.0,0.0,64.3,189.59,441.9,47.4,12.26,122.21,12.12,7.01
642,Raghuvir Synth,518.75,239.02,2010.15,0.0,2.66,57.4,60.05,35.34,21.37,5.9,23.78,8.12
643,Hester Bios,2356.3,42.48,2002.6,0.42,10.62,58.98,62.66,17.32,18.34,36.6,17.05,9.25
644,Mold-Tek Pack.,692.25,31.84,1995.37,1.01,17.59,30.68,159.53,33.99,22.36,48.12,21.97,12.03
645,Gabriel India,138.65,22.35,1993.81,0.65,24.92,-18.56,589.7,28.49,12.26,59.98,8.9,5.45
646,Swaraj Engines,1640.15,15.92,1989.89,3.05,33.77,24.52,343.59,17.56,48.06,92.05,35.73,22.63
647,Novartis India,802.3,88.79,1979.13,1.25,7.02,-6.65,104.48,9.03,6.1,20.87,2.91,2.01
648,Heritage Foods,424.45,16.37,1968.42,1.18,32.72,1362.69,670.3,9.88,31.09,149.95,28.59,15.75
649,Gufic BioScience,202.55,23.69,1963.61,0.05,23.34,34.68,194.14,51.18,29.06,44.21,29.21,11.06
650,Automotive Axles,1299.9,35.34,1959.7,0.35,10.14,68.44,308.94,82.59,6.36,25.15,4.63,3.01
651,Garware Hi Tech,843.5,12.75,1959.66,1.19,43.34,14.78,339.62,36.28,12.81,125.01,8.43,7.05
652,BLS Internat.,190.9,22.94,1956.3,0.26,27.47,101.1,190.46,45.13,11.25,50.08,11.28,10.39
653,Manali Petrochem,113.6,5.08,1953.91,1.32,117.28,317.81,436.04,101.19,48.95,216.78,37.34,28.03
654,Himadri Special,46.05,30.61,1935.71,0.33,9.41,-54.58,645.29,65.78,4.12,47.48,2.69,1.76
655,Den Networks,40.65,10.57,1935.06,0.0,39.39,7.15,325.05,-3.74,1.93,197.96,7.36,1.56
656,Tips Industries,1476.65,28.83,1910.61,0.14,21.02,212.33,95.95,482.57,64.51,43.43,47.82,36.44
657,South Ind.Bank,9.1,,1900.12,0.0,-187.06,-387.39,1646.59,-13.28,5.3,61.84,1.1,0.06
658,Dhampur Sugar,285.85,8.78,1896.67,2.1,26.25,-6.78,762.55,-18.12,13.67,229.2,15.69,6.31
659,Shriram Pistons,859.65,10.59,1893.37,0.7,46.67,42.81,532.69,24.75,10.52,87.97,7.93,5.39
660,Repco Home Fin,300.3,7.05,1873.68,0.83,86.4,3.39,329.92,-5.19,9.87,300.21,15.23,2.45
661,Pokarna,602.8,45.49,1868.15,0.1,20.4,-2.53,148.42,58.18,10.36,28.26,8.03,2.94
662,Thangamayil Jew.,1354.5,31.0,1856.79,0.74,26.71,-48.97,704.92,106.1,25.39,86.58,33.42,11.62
663,Prataap Snacks,791.05,74.81,1853.72,0.06,14.69,74.05,370.58,13.43,2.56,14.2,2.31,1.57
664,Goldiam Intl.,835.9,17.96,1852.06,0.96,19.41,74.86,166.26,90.56,18.06,50.96,11.65,10.02
665,Genus Power,71.7,23.59,1844.95,0.7,-2.49,-379.78,177.79,7.67,11.49,69.53,7.98,5.04
666,Punjab Chemicals,1497.1,26.95,1841.88,0.13,17.94,52.29,208.79,27.31,38.32,48.93,40.39,11.58
667,Apcotex Industri,354.0,22.06,1838.44,0.99,22.26,91.4,243.41,88.28,19.8,44.0,15.81,10.37
668,Wardwizard Inno.,71.45,487.19,1831.85,0.07,1.62,478.57,33.5,386.92,14.96,1.87,11.28,7.55
669,Kovai Medical,1655.7,17.07,1826.07,0.18,24.15,-15.35,218.0,18.76,13.2,77.57,16.49,6.5
670,Sportking India,1371.05,6.55,1821.74,0.0,110.17,1058.46,524.0,63.28,23.01,99.66,42.1,9.98
671,ADF Foods,914.4,34.53,1812.23,0.33,12.5,-0.64,109.39,16.01,27.87,49.7,21.6,16.89
672,CARE Ratings,615.2,21.99,1811.27,2.76,26.62,-24.93,76.39,0.67,22.21,89.52,16.67,14.12
673,Kiri Industries,452.2,3.96,1808.99,0.0,101.16,124.0,357.87,104.54,12.32,252.47,12.35,9.89
674,M M Forgings,747.0,18.55,1799.87,0.67,27.72,332.45,261.3,77.42,8.02,46.61,9.62,3.88
675,Sundaram Fin.Hol,80.9,15.57,1796.22,0.62,19.29,0.0,14.41,14.09,0.71,73.88,3.65,3.49
676,Max Ventures,120.3,34.97,1767.51,0.0,12.06,204.96,376.32,30.2,11.72,10.38,1.18,4.1
677,Sandur Manganese,1946.15,4.17,1751.92,0.51,181.94,342.25,565.68,294.72,20.23,153.95,16.8,9.66
678,Camlin Fine,136.25,37.39,1739.21,0.0,-5.53,-193.89,311.22,21.19,14.12,50.94,10.18,4.83
679,Geojit Fin. Ser.,72.85,12.07,1738.25,4.8,39.52,22.32,127.08,17.09,28.99,122.63,22.38,12.13
680,PSP Projects,483.15,13.14,1737.32,0.83,36.39,158.64,390.44,60.62,21.84,81.53,16.47,8.29
681,Stylam Industrie,1027.85,26.76,1737.11,0.24,15.05,7.96,171.95,49.55,23.98,55.24,23.81,13.76
